Document No.,Report Date,Journal,Account,Exp. Date,As of: 11/18/2022,1 - 30,31 - 60,61 - 90,91 - 120,Older,Total,Customer Name,Amount
LS11797,08/01/2022,SS,Accounts Receivable (A/R),,,,,,386.72,,,21st Century Cleaners,386.72
LS11673,08/06/2022,SS,Accounts Receivable (A/R),,,,,,406.0,,,21st Century Cleaners,406.0
LS11935,09/01/2022,SS,Accounts Receivable (A/R),,,,,386.72,,,,21st Century Cleaners,386.72
LS12080,10/03/2022,SS,Accounts Receivable (A/R),,,,386.72,,,,,21st Century Cleaners,386.72
LS12228,11/01/2022,SS,Accounts Receivable (A/R),,,386.72,,,,,,21st Century Cleaners,386.72
LS12253,11/08/2022,SS,Accounts Receivable (A/R),,,6252.81,,,,,,A&A WASH SYSTEMS,6252.81
LS11511,06/23/2022,SS,Accounts Receivable (A/R),,,,,,,1431.14,,ABEL'S COIN LAUNDRY,1431.14
INV/2020/12/0024,12/07/2020,INV,Accounts Receivable (A/R),,,,,,,45.15,,ADAMS COUNTY SHERIFF DEPARTMENT #ACS001,45.15
LS11991,10/13/2022,SS,Accounts Receivable (A/R),,,,414.5,,,,,ADAMS COUNTY SHERIFF DEPARTMENT #ACS001,414.5
LS12168,11/23/2022,SS,Accounts Receivable (A/R),,348.5,,,,,,,ALEXANDER JR HIGH SCHOOL,348.5
LS11664,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,410.3,,ALLENS CREEK Resort,410.3
LS11794,08/16/2022,SS,Accounts Receivable (A/R),,,,,,410.3,,,ALLENS CREEK Resort,410.3
LS11932,09/16/2022,SS,Accounts Receivable (A/R),,,,,410.3,,,,ALLENS CREEK Resort,410.3
LS12077,10/18/2022,SS,Accounts Receivable (A/R),,,,410.3,,,,,ALLENS CREEK Resort,410.3
LS12225,11/16/2022,SS,Accounts Receivable (A/R),,,410.3,,,,,,ALLENS CREEK Resort,410.3
LS12064,11/02/2022,SS,Accounts Receivable (A/R),,,1074.42,,,,,,AMERICAN CRUISE LINES,1074.42
LS12109,11/09/2022,SS,Accounts Receivable (A/R),,,1762.29,,,,,,AMERICAN CRUISE LINES,1762.29
RSS/2020/09/0001,09/11/2020,SS,Accounts Receivable (A/R),,,,,,,-39.78,,AMERICAS BEST VALUE INN GRENADA,-39.78
INV/2020/03/0018|LS8043,09/26/2022,INV,Accounts Receivable (A/R),,,,-333.22,,,,,AMERICAS BEST VALUE INN GRENADA,-333.22
LS11813,09/07/2022,SS,Accounts Receivable (A/R),,,,,338.12,,,,AMERICAS BEST VALUE INN-FOREST,338.12
INV/2020/11/0068,11/05/2020,INV,Accounts Receivable (A/R),,,,,,,142.1,,ANDERSON QUALITY CLEANERS,142.1
LS12206,10/31/2022,SS,Accounts Receivable (A/R),,,268.98,,,,,,ANDERSON QUALITY CLEANERS,268.98
INV/2020/05/0065,05/19/2020,INV,Accounts Receivable (A/R),,,,,,,614.41,,ANIMAL RESCUE FUND OF MS INC,614.41
INV/2020/05/0075,05/20/2020,INV,Accounts Receivable (A/R),,,,,,,518.44,,ANIMAL RESCUE FUND OF MS INC,518.44
LS9306-1,01/22/2021,SS,Accounts Receivable (A/R),,,,,,,167.97,,APPLIANCES ETC.,167.97
LS12266,12/10/2022,SS,Accounts Receivable (A/R),,765.05,,,,,,,ASI MANAGEMENT - TISHOMINGO MANOR,765.05
LS11416,09/21/2022,SS,Accounts Receivable (A/R),,,,-125.32,,,,,ASI MGT - THE MYRTLES NURSING CENTER - Columbia,-125.32
LS12009,10/16/2022,SS,Accounts Receivable (A/R),,,,436.03,,,,,ATTALA  COUNTY NURSING CENTER,436.03
LS11962,10/07/2022,SS,Accounts Receivable (A/R),,,,640.93,,,,,AVID HOTEL Southaven,640.93
LS12173,11/23/2022,SS,Accounts Receivable (A/R),,640.93,,,,,,,AVID HOTEL Southaven,640.93
LS11229,03/16/2022,SS,Accounts Receivable (A/R),,,,,,,212.36,,America's Best Value Inn-Tupelo,212.36
ANET/2021/03/0008,03/19/2021,ANET,Accounts Receivable (A/R),,,,,,,-0.01,,Appliance & Apparatus Repair,-0.01
PYMT/2020/12/0084,12/29/2020,PYMT,Accounts Receivable (A/R),,,,,,,-11.7,,Avid Hotel - Hattiesburg,-11.7
LS11803,09/01/2022,SS,Accounts Receivable (A/R),,,,,586.07,,,,BAYMONT INN LAUREL,586.07
PYMT/2020/06/0047,06/16/2020,PYMT,Accounts Receivable (A/R),,,,,,,-2.11,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,-2.11
PYMT/2020/08/0071,08/11/2020,PYMT,Accounts Receivable (A/R),,,,,,,-17.14,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,-17.14
PYMT/2020/09/0036,09/08/2020,PYMT,Accounts Receivable (A/R),,,,,,,-17.14,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,-17.14
BNK3/2021/03/0240,03/29/2021,BNK3,Accounts Receivable (A/R),,,,,,,-21.42,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,-21.42
LS11663,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,946.57,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,946.57
LS11793,08/16/2022,SS,Accounts Receivable (A/R),,,,,,946.57,,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,946.57
LS11931,09/16/2022,SS,Accounts Receivable (A/R),,,,,946.57,,,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,946.57
LS12076,10/18/2022,SS,Accounts Receivable (A/R),,,,946.57,,,,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,946.57
LS12224,11/16/2022,SS,Accounts Receivable (A/R),,,946.57,,,,,,BAYOU CORRECTIONAL MANAGEMENT CO- TALLULAH,946.57
LS11980,10/09/2022,SS,Accounts Receivable (A/R),,,,895.59,,,,,BEACON STREET COIN LAUNDRY,895.59
LS12149,11/18/2022,SS,Accounts Receivable (A/R),,791.27,,,,,,,BEACON STREET COIN LAUNDRY,791.27
LS12284,12/17/2022,SS,Accounts Receivable (A/R),,621.67,,,,,,,BEACON STREET COIN LAUNDRY,621.67
LS11633,07/30/2022,SS,Accounts Receivable (A/R),,,,,,866.44,,,BELHAVEN COIN LLC,866.44
LS10385,10/07/2021,SS,Accounts Receivable (A/R),,,,,,,150.13,,BERCLAIR COIN LAUNDRY- MEMPHIS,150.13
LS11406,08/03/2022,SS,Accounts Receivable (A/R),,,,,,-646.57,,,BERCLAIR COIN LAUNDRY- MEMPHIS,-646.57
LS11405,08/03/2022,SS,Accounts Receivable (A/R),,,,,,-589.13,,,BERCLAIR COIN LAUNDRY- MEMPHIS,-589.13
LS11753,08/25/2022,SS,Accounts Receivable (A/R),,,,,504.85,,,,BERCLAIR COIN LAUNDRY- MEMPHIS,504.85
LS11816,09/07/2022,SS,Accounts Receivable (A/R),,,,,134.51,,,,BERCLAIR COIN LAUNDRY- MEMPHIS,134.51
LS12197,11/26/2022,SS,Accounts Receivable (A/R),,124.92,,,,,,,BERCLAIR COIN LAUNDRY- MEMPHIS,124.92
LS12204,11/27/2022,SS,Accounts Receivable (A/R),,167.02,,,,,,,BERCLAIR COIN LAUNDRY- MEMPHIS,167.02
LS12017,10/20/2022,SS,Accounts Receivable (A/R),,,2184.72,,,,,,BEST WESTERN OAK MANOR,2184.72
LS12054,10/28/2022,SS,Accounts Receivable (A/R),,,315.14,,,,,,BEST WESTERN OLIVE BRANCH,315.14
PYMT/2020/11/0049,11/19/2020,PYMT,Accounts Receivable (A/R),,,,,,,-353.1,,BEST WESTERN- COLUMBUS,-353.1
LS12094,11/04/2022,SS,Accounts Receivable (A/R),,,316.0,,,,,,BILOXI HIGH SCHOOL,316.0
LS12177,11/23/2022,SS,Accounts Receivable (A/R),,446.0,,,,,,,BILOXI HIGH SCHOOL:BILOXI JR HIGH SCHOOL,446.0
LS11672,08/06/2022,SS,Accounts Receivable (A/R),,,,,,400.0,,,BOLIVAR COUNTY REGIONAL CORRECTIONAL FACILITY,400.0
LS12202,11/27/2022,SS,Accounts Receivable (A/R),,2058.89,,,,,,,BOLIVAR COUNTY REGIONAL CORRECTIONAL FACILITY,2058.89
LS10408,10/14/2021,SS,Accounts Receivable (A/R),,,,,,,140.0,,BRANDON Middle School,140.0
LS11792,08/16/2022,SS,Accounts Receivable (A/R),,,,,,384.13,,,BRIAR HILL REST HOME,384.13
LS12075,10/18/2022,SS,Accounts Receivable (A/R),,,,384.13,,,,,BRIAR HILL REST HOME,384.13
LS12223,11/16/2022,SS,Accounts Receivable (A/R),,,384.13,,,,,,BRIAR HILL REST HOME,384.13
LS11766,08/26/2022,SS,Accounts Receivable (A/R),,,,,299.6,,,,BROOKHAVEN COIN LAUNDRY,299.6
LS11997,10/14/2022,SS,Accounts Receivable (A/R),,,,522.16,,,,,BROOKHAVEN COIN LAUNDRY,522.16
LS12038,10/23/2022,SS,Accounts Receivable (A/R),,,476.64,,,,,,BROOKHAVEN COIN LAUNDRY,476.64
LS12236,12/03/2022,SS,Accounts Receivable (A/R),,512.0,,,,,,,BROOKHAVEN COIN LAUNDRY,512.0
LS12259,12/09/2022,SS,Accounts Receivable (A/R),,856.09,,,,,,,BROOKHAVEN COIN LAUNDRY,856.09
INV/2020/09/0076,09/21/2020,INV,Accounts Receivable (A/R),,,,,,,18.55,,BROTHERS COIN LAUNDRY GREENVILLE,18.55
ANET/2022/02/0002,02/04/2022,ANET,Accounts Receivable (A/R),,,,,,,-98.98,,BROTHERS COIN LAUNDRY: Cleveland,-98.98
LS12186,11/25/2022,SS,Accounts Receivable (A/R),,802.5,,,,,,,BROTHERS COIN LAUNDRY: Cleveland,802.5
BOA/2022/10/0052,10/14/2022,BOA,Accounts Receivable (A/R),,,,-766.15,,,,,BUDDY'S LAUNDROMAT - Tuscaloosa,-766.15
LS12183,11/25/2022,SS,Accounts Receivable (A/R),,697.93,,,,,,,BUDDY'S LAUNDROMAT - Tuscaloosa,697.93
LS11567,06/09/2022,SS,Accounts Receivable (A/R),,,,,,,8273.24,,BULLOCK'S WASHATERIA,8273.24
LS11869,09/16/2022,SS,Accounts Receivable (A/R),,,,,526.66,,,,BULLOCK'S WASHATERIA,526.66
BNK3/2021/02/0043,02/08/2021,BNK3,Accounts Receivable (A/R),,,,,,,-0.01,,BURKETT COIN LAUNDRY,-0.01
LS11990,10/13/2022,SS,Accounts Receivable (A/R),,,,1977.75,,,,,"Bailey Avenue Holdings, LLC/ Sinclair Crossing",1977.75
LS10888,12/29/2021,SS,Accounts Receivable (A/R),,,,,,,54.15,,BeClean Dry Cleaners-Brookhaven,54.15
LS12243,12/03/2022,SS,Accounts Receivable (A/R),,543.86,,,,,,,Beaujolais Villas,543.86
LS12020,10/21/2022,SS,Accounts Receivable (A/R),,,439.48,,,,,,Bedford Care Center of Mendenhall,439.48
BNK3/2021/03/0246,03/29/2021,BNK3,Accounts Receivable (A/R),,,,,,,-41.75,,"Brandon Service Co., Inc.",-41.75
INV/2020/01/0016,01/08/2020,INV,Accounts Receivable (A/R),,,,,,,606.45,,CALDWELL’S LAUNDROMAT,606.45
INV/2020/02/0071,02/11/2020,INV,Accounts Receivable (A/R),,,,,,,80.25,,CALDWELL’S LAUNDROMAT,80.25
INV/2020/02/0110,02/17/2020,INV,Accounts Receivable (A/R),,,,,,,211.33,,CALDWELL’S LAUNDROMAT,211.33
INV/2020/04/0036,04/16/2020,INV,Accounts Receivable (A/R),,,,,,,251.45,,CALDWELL’S LAUNDROMAT,251.45
INV/2020/05/0033,05/12/2020,INV,Accounts Receivable (A/R),,,,,,,663.34,,CALDWELL’S LAUNDROMAT,663.34
INV/2020/05/0067,05/19/2020,INV,Accounts Receivable (A/R),,,,,,,1001.5,,CALDWELL’S LAUNDROMAT,1001.5
INV/2020/07/0099,07/21/2020,INV,Accounts Receivable (A/R),,,,,,,56.83,,CAMP JOURNEY'S END LLC,56.83
LS11947,10/02/2022,SS,Accounts Receivable (A/R),,,,563.78,,,,,CANDLEWOOD SUITES - Mobile,563.78
LS12013,10/19/2022,SS,Accounts Receivable (A/R),,,546.98,,,,,,CANDLEWOOD SUITES - Mobile,546.98
LS11880,09/21/2022,SS,Accounts Receivable (A/R),,,,283.55,,,,,CANDLEWOOD SUITES OF FLOWOOD,283.55
LS12005,10/15/2022,SS,Accounts Receivable (A/R),,,,283.55,,,,,CANDLEWOOD SUITES OF FLOWOOD,283.55
LS12234,11/03/2022,SS,Accounts Receivable (A/R),,,15877.73,,,,,,CARTERS WASH,15877.73
INV/2020/05/0125,05/29/2020,INV,Accounts Receivable (A/R),,,,,,,334.95,,CASH & CARRY CLEANERS,334.95
LS12205,11/30/2022,SS,Accounts Receivable (A/R),,407.67,,,,,,,CEDAR GROVE INN,407.67
LS12272,12/11/2022,SS,Accounts Receivable (A/R),,901.9,,,,,,,CEDAR GROVE INN,901.9
INV/2020/01/0021,01/10/2020,INV,Accounts Receivable (A/R),,,,,,,53.44,,CES LTC - PLEASANT HILLS COMMUNITY LIVING CENTER,53.44
INV/2020/11/0027,11/24/2020,INV,Accounts Receivable (A/R),,,,,,,42.92,,CES LTC - PLEASANT HILLS COMMUNITY LIVING CENTER,42.92
LS11558,06/08/2022,SS,Accounts Receivable (A/R),,,,,,,194.84,,CES LTC - PLEASANT HILLS COMMUNITY LIVING CENTER,194.84
BNK3/2022/02/134,02/15/2022,BNK3,Accounts Receivable (A/R),,,,,,,-2867.79,,CES LTC - VAIDEN COMMUNITY LIVING CENTER - Vaiden,-2867.79
LS11878,09/18/2022,SS,Accounts Receivable (A/R),,,,,430.68,,,,CES LTC - VAIDEN COMMUNITY LIVING CENTER - Vaiden,430.68
LS10828,12/10/2021,SS,Accounts Receivable (A/R),,,,,,,107.0,,CHEETAH SPEED LAUNDRY - Pascagoula,107.0
LS12010,10/16/2022,SS,Accounts Receivable (A/R),,,,420.2,,,,,CITY OF ORANGE BEACH ALABAMA,420.2
LS12179,11/24/2022,SS,Accounts Receivable (A/R),,252.64,,,,,,,CLAIBORNE COUNTY FIRE DEPT,252.64
BNK3/2021/04/0219,04/20/2021,BNK3,Accounts Receivable (A/R),,,,,,,-639.86,,CLINTON HEALTH CARE (Rental),-639.86
LS11922,09/16/2022,SS,Accounts Receivable (A/R),,,,,597.06,,,,CLINTON HEALTH CARE (Rental),597.06
LS12068,10/18/2022,SS,Accounts Receivable (A/R),,,,597.06,,,,,CLINTON HEALTH CARE (Rental),597.06
LS12216,11/16/2022,SS,Accounts Receivable (A/R),,,597.06,,,,,,CLINTON HEALTH CARE (Rental),597.06
LS12165,11/20/2022,SS,Accounts Receivable (A/R),,265.0,,,,,,,CLINTON HIGH SCHOOL,265.0
BNK3/2022/04/166,04/19/2022,BNK3,Accounts Receivable (A/R),,,,,,,-285.16,,CLOVERLEAF LAUNDROMAT DURANT,-285.16
LS11881,09/21/2022,SS,Accounts Receivable (A/R),,,,505.58,,,,,CLOVERLEAF LAUNDROMAT DURANT,505.58
LS12086,11/02/2022,SS,Accounts Receivable (A/R),,,477.22,,,,,,CLOVERLEAF LAUNDROMAT DURANT,477.22
LS12270,12/10/2022,SS,Accounts Receivable (A/R),,655.91,,,,,,,CLOVERLEAF LAUNDROMAT DURANT,655.91
LS11514,06/24/2022,SS,Accounts Receivable (A/R),,,,,,,147.4,,CMCF,147.4
LS10532,11/07/2021,SS,Accounts Receivable (A/R),,,,,,,62.71,,COIN-OP LAUNDRY,62.71
LS10198,07/21/2021,SS,Accounts Receivable (A/R),,,,,,,203.3,,COLUMBIA FAMILY COIN LAUNDRY,203.3
PYMT/2020/05/0083,05/28/2020,PYMT,Accounts Receivable (A/R),,,,,,,-156.36,,COMFORT INN & SUITES - MEMPHIS,-156.36
LS10949,01/12/2022,SS,Accounts Receivable (A/R),,,,,,,12.74,,COMFORT INN AND SUITES - Clinton,12.74
LS10949-1,05/04/2022,SS,Accounts Receivable (A/R),,,,,,,385.2,,COMFORT INN AND SUITES - Clinton,385.2
BNK3/2021/01/0113,01/19/2021,BNK3,Accounts Receivable (A/R),,,,,,,-57.24,,COMPERE'S NURSING HOME,-57.24
BNK3/2021/08/147,08/19/2021,BNK3,Accounts Receivable (A/R),,,,,,,-177.5,,COMPERE'S NURSING HOME,-177.5
BNK3/2021/09/085,09/14/2021,BNK3,Accounts Receivable (A/R),,,,,,,-65.0,,COMPERE'S NURSING HOME,-65.0
LS11924,09/16/2022,SS,Accounts Receivable (A/R),,,,,686.88,,,,COMPERE'S NURSING HOME,686.88
LS12070,10/18/2022,SS,Accounts Receivable (A/R),,,,686.88,,,,,COMPERE'S NURSING HOME,686.88
LS12218,11/16/2022,SS,Accounts Receivable (A/R),,,686.88,,,,,,COMPERE'S NURSING HOME,686.88
LS12120,11/11/2022,SS,Accounts Receivable (A/R),,,559.61,,,,,,CONSULATE HEALTHCARE - COURTYARD REHABILITATION AND HEALTHCARE,559.61
LS11581,06/15/2022,SS,Accounts Receivable (A/R),,,,,,,71.43,,CONSULATE HEALTHCARE - GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,71.43
LS11225,04/14/2022,SS,Accounts Receivable (A/R),,,,,,,481.78,,CONSULATE HEALTHCARE - HERITAGE MANOR OF FRANKLINTON,481.78
LS11257,04/22/2022,SS,Accounts Receivable (A/R),,,,,,,569.39,,CONSULATE HEALTHCARE - HERITAGE MANOR OF FRANKLINTON,569.39
LS11303,04/16/2022,SS,Accounts Receivable (A/R),,,,,,,173.63,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS11423,05/17/2022,SS,Accounts Receivable (A/R),,,,,,,173.63,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS11541,06/16/2022,SS,Accounts Receivable (A/R),,,,,,,173.63,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS11507,06/22/2022,SS,Accounts Receivable (A/R),,,,,,,921.11,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,921.11
LS11666,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,173.63,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS11796,08/16/2022,SS,Accounts Receivable (A/R),,,,,,173.63,,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS11934,09/16/2022,SS,Accounts Receivable (A/R),,,,,173.63,,,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS12079,10/18/2022,SS,Accounts Receivable (A/R),,,,173.63,,,,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS12227,11/16/2022,SS,Accounts Receivable (A/R),,,173.63,,,,,,CONSULATE HEALTHCARE - HERITAGE MANOR-FERRIDAY,173.63
LS11919,09/16/2022,SS,Accounts Receivable (A/R),,,,,298.53,,,,CONSULATE HEALTHCARE - THE OAKS REHAB & HEALTHCARE,298.53
LS12065,10/18/2022,SS,Accounts Receivable (A/R),,,,298.53,,,,,CONSULATE HEALTHCARE - THE OAKS REHAB & HEALTHCARE,298.53
LS12213,11/16/2022,SS,Accounts Receivable (A/R),,,298.53,,,,,,CONSULATE HEALTHCARE - THE OAKS REHAB & HEALTHCARE,298.53
INV/2020/10/0022,10/01/2020,INV,Accounts Receivable (A/R),,,,,,,36.87,,CONSULATE HEALTHCARE - WINONA MANOR,36.87
LS11858,09/14/2022,SS,Accounts Receivable (A/R),,,,,1313.78,,,,CONSULATE HEALTHCARE - WINONA MANOR,1313.78
LS12072,10/18/2022,SS,Accounts Receivable (A/R),,,,789.66,,,,,CONSULATE HEALTHCARE - WINONA MANOR,789.66
LS12220,11/16/2022,SS,Accounts Receivable (A/R),,,789.66,,,,,,CONSULATE HEALTHCARE - WINONA MANOR,789.66
LS11809,08/03/2022,SS,Accounts Receivable (A/R),,,,,,24.25,,,COPIAH COUNTY SCHOOL DIST.,24.25
LS11808,08/03/2022,SS,Accounts Receivable (A/R),,,,,,18.94,,,COPIAH COUNTY SCHOOL DIST.,18.94
LS12238,12/03/2022,SS,Accounts Receivable (A/R),,101.72,,,,,,,COPIAH LIVING CENTER,101.72
LS9521,03/09/2021,SS,Accounts Receivable (A/R),,,,,,,240.0,,COPIAH-LINCOLN COLLEGE #161477,240.0
LS11747,08/21/2022,SS,Accounts Receivable (A/R),,,,,2501.62,,,,"COUNTRY INN & STES. - SARALAND, AL",2501.62
LS11746,08/21/2022,SS,Accounts Receivable (A/R),,,,,878.77,,,,"COUNTRY INN & STES. - SARALAND, AL",878.77
ANET/2021/09/0018,09/13/2021,ANET,Accounts Receivable (A/R),,,,,,,-149.8,,COUNTRY INN & SUITES - PEARL #SKY327,-149.8
LS11995,10/13/2022,SS,Accounts Receivable (A/R),,,,286.2,,,,,COURTYARD BY MARRIOTT - Jackson,286.2
LS11767,08/27/2022,SS,Accounts Receivable (A/R),,,,,299.6,,,,Candlewood Suites of Hattiesburg,299.6
LS11840,09/10/2022,SS,Accounts Receivable (A/R),,,,,407.67,,,,Candlewood Suites of Hattiesburg,407.67
LS12121,11/12/2022,SS,Accounts Receivable (A/R),,,378.79,,,,,,Canton Manor,378.79
LS12164,11/20/2022,SS,Accounts Receivable (A/R),,267.65,,,,,,,Canton Manor,267.65
LS12231,12/02/2022,SS,Accounts Receivable (A/R),,304.78,,,,,,,Canton Manor,304.78
LS10332,08/25/2021,SS,Accounts Receivable (A/R),,,,,,,2563.75,,City Mart Coin Brookhaven,2563.75
INV/2020/02/0102,02/15/2020,INV,Accounts Receivable (A/R),,,,,,,19.29,,Comfort Suites - Olive Branch,19.29
LS11595,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,461.71,,Consulate Healthcare - Courtyard Rehabilitation and Healthcare,461.71
